Regendauer,HN_001A,HN_002A,HN_003A,HN_005A,HN_010A,HN_020A,HN_030A,HN_050A,HN_100A
0005,163.33,206.67,233.33,266.67,310.0,356.67,383.33,413.33,460.0
0010,128.33,160.0,180.0,203.33,235.0,266.67,285.0,308.33,340.0
0015,106.67,132.22,147.78,166.67,193.33,218.89,233.33,253.33,278.89
0020,90.83,113.33,126.67,143.33,165.83,188.33,201.67,217.5,240.0
0030,70.0,88.33,99.44,112.78,131.11,150.0,160.56,173.89,192.78
0045,52.22,67.41,76.3,87.41,102.22,117.41,126.3,137.41,152.59
0060,41.67,54.72,62.5,71.94,85.0,98.33,105.83,115.56,128.61
0090,30.56,39.63,45.0,51.67,60.93,70.0,75.37,82.04,91.11
0120,24.44,31.53,35.69,40.97,47.92,55.0,59.17,64.31,71.39
0180,17.96,22.87,25.74,29.44,34.35,39.26,42.13,45.74,50.65
0240,14.44,18.19,20.49,23.26,27.08,30.9,33.12,35.9,39.72
0360,10.56,13.24,14.77,16.76,19.4,22.04,23.61,25.56,28.24
0540,7.75,9.6,10.68,12.04,13.89,15.74,16.82,18.21,20.06
0720,6.23,7.66,8.5,9.54,10.97,12.41,13.24,14.31,15.74
1080,4.55,5.56,6.14,6.88,7.87,8.87,9.46,10.2,11.2
1440,3.66,4.43,4.88,5.45,6.23,7.0,7.45,8.02,8.8
2880,2.23,2.69,2.95,3.29,3.74,4.2,4.47,4.81,5.27
4320,1.67,2.0,2.19,2.44,2.77,3.1,3.29,3.54,3.87
